benchmark_id,split,dataset_id,system_id,metric,replay_value,chapter10a_value,absolute_delta,tolerance,status
locked,locked_benchmark,bank_marketing,mean_ensemble,calibration_error,0.007820091217138387,0.007820091217138388,1.734723475976807e-18,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,accuracy,0.9066578190665782,0.9066578190665782,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,precision,0.6347607052896725,0.6347607052896725,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,recall,0.4763705103969754,0.4763705103969754,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,f1,0.5442764578833694,0.5442764578833694,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,roc_auc,0.934771717347739,0.934771717347739,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,false_positive_rate,0.036322645290581164,0.036322645290581164,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,false_negative_rate,0.5236294896030246,0.5236294896030246,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,balanced_accuracy,0.7200239325531972,0.7200239325531972,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,static_weighted_ensemble,calibration_error,0.006376240236455315,0.006376240236455315,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,accuracy,0.9082061490820615,0.9082061490820615,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,precision,0.6619318181818182,0.6619318181818182,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,recall,0.44045368620037806,0.44045368620037806,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,f1,0.5289443813847899,0.5289443813847899,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,roc_auc,0.933755507233749,0.933755507233749,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,false_positive_rate,0.029809619238476952,0.029809619238476952,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,false_negative_rate,0.5595463137996219,0.5595463137996219,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,balanced_accuracy,0.7053220334809506,0.7053220334809506,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,veto_mavs,calibration_error,0.007820091217138387,0.007820091217138388,1.734723475976807e-18,1e-12,pass
locked,locked_benchmark,bank_marketing,pure_mavs_gc,accuracy,0.9059942490599425,0.9059942490599425,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,pure_mavs_gc,precision,0.7131147540983607,0.7131147540983607,0.0,1e-12,pass
locked,locked_benchmark,bank_marketing,pure_mavs_gc,recall,0.32892249527410206,0.32892249527410206,0.0,1e-12,pass
