split_label,dataset_id,system_id,corruption_family,seed_role,metric,directionality,area,levels,area_hash
locked,adult_income,mean_ensemble,label_noise,primary,unsafe_acceptance_rate,lower_is_better,0.06271870794078062,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,14bdf5a3f14abe6726527516a4138e4e27842f091c7a04c0f092657916d67e85
locked,adult_income,mean_ensemble,label_noise,primary,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,4d468f036d5a67f620132223f1b6f7054bce021cf4480fe99aa77a86c101880a
locked,adult_income,mean_ensemble,label_noise,primary,rejection_rate,context_dependent,0.8018018018018018,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,a99b04d60ad07932c52e465158d7db67c170841aca09e34f7ac1bd72ba3556eb
locked,adult_income,mean_ensemble,label_noise,shadow,accuracy,higher_is_better,0.8634316134316135,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ee9a9b51f742e3e04652c6097209e6f8deab9fc65f997c76e9d62bf97ab1e6c1
locked,adult_income,mean_ensemble,label_noise,shadow,f1,higher_is_better,0.6878802058961161,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,78fd7d8fb0cd5d43307d71ecc229acc3553eec57953476be991571d5e87b2124
locked,adult_income,mean_ensemble,label_noise,shadow,unsafe_acceptance_rate,lower_is_better,0.06271870794078062,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,03872e885280a57b0a65ef9c3d6364bfa30c7d5572443ea7c253100863e6ea1b
locked,adult_income,mean_ensemble,label_noise,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,d458d9c490538357c04216f634880ee4663ccbdc4bddea97c5dff0e9bab408ec
locked,adult_income,mean_ensemble,label_noise,shadow,rejection_rate,context_dependent,0.8018018018018018,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,24d8a8772c2528c97bc105af6098fab493c563423cb564a9a5a57036fd798f59
audit,adult_income,mean_ensemble,missing_features,audit,accuracy,higher_is_better,0.8033340158340159,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ab73ae42beb0e881486046b04b9ec2355ae70cda2141b457850e059c66961e1d
audit,adult_income,mean_ensemble,missing_features,audit,f1,higher_is_better,0.345372382627057,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,27192b0c5fa42336436f475169d6d97e373c74661913f5037eca52afd7c034ad
audit,adult_income,mean_ensemble,missing_features,audit,unsafe_acceptance_rate,lower_is_better,0.0263724434876211,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,a75420a45dd9cf979ca4a0c3852c5113752d5fe9863613b6b7cb901e0b6de8ff
audit,adult_income,mean_ensemble,missing_features,audit,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,faf6fa42f03b925bb6c90e147b7fa352ef771ea6fdbb7a8ec40a7013f2ad3605
audit,adult_income,mean_ensemble,missing_features,audit,rejection_rate,context_dependent,0.917386704886705,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ab06f9ae3c5689372f3b5b5b6961c1e75d4adf9a20ce986b745a9aef4938daed
audit,adult_income,mean_ensemble,missing_features,shadow,accuracy,higher_is_better,0.8040182227682228,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,ffe9a0827d6c29fa4119d8f943c50b2b6a6e725631f0d5ae79d1c390df043446
audit,adult_income,mean_ensemble,missing_features,shadow,f1,higher_is_better,0.34845315667481735,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,770be8c0d4644a5a39f412c2d3497dd10147b18ac292cc21d0b7a1902736e26c
audit,adult_income,mean_ensemble,missing_features,shadow,unsafe_acceptance_rate,lower_is_better,0.026305166846071044,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,31e6bce85eedac41717b63e506b3592d4d2ce89dca057fa228e8056ea00f4397
audit,adult_income,mean_ensemble,missing_features,shadow,technical_failure_rate,lower_is_better,0.0,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,f515da6af5c877363e91035f1d1788a1185ccace7b9237d377a99ab9fefd6f9f
audit,adult_income,mean_ensemble,missing_features,shadow,rejection_rate,context_dependent,0.916804873054873,0.0|0.05|0.1|0.2|0.4|0.6|0.8|1.0,8f7fa4c0fa2fc184d99985e24222beb9bfaf9c1912a34f4067be8ff4e98df6ce
